price,beds,baths,sqft,sqftlot,broker,address
"$200,000",4bed,2bath,"2,106sqft","6,400sqft lot",MALOY REAL ESTATE,"6547 Bedford Ave, Omaha, NE 68104"
"$259,500",3bed,2.5bath,"1,431sqft","5,271sqft lot",Bhhs Ambassador Real Estate,"17014 Hawthorne Ave, Omaha, NE 68118"
"$250,000",2bed,2bath,"1,700sqft","8,712sqft lot",Mike Egan Real Estate,"16110 Tucker Ct, Omaha, NE 68007"
"$191,000",3bed,3bath,"1,438sqft","7,405sqft lot",Exp Realty Llc,"4817 Orchard Ave, Omaha, NE 68117"
"$175,000",2bed,1bath,"1,328sqft","5,400sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"2024 N 61st St, Omaha, NE 68104"
"$149,900",2bed,1bath,974sqft,,BHHS Ambassador Real Estate,"500 S 37th St Apt 402, Omaha, NE 68105"
"$210,000",3bed,2bath,"1,580sqft","4,830sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"2838 S 31st St, Omaha, NE 68105"
"$110,000",2bed,1bath,913sqft,0.24acre lot,HEARTLAND PROPERTIESINC,"4805 Seward St, Omaha, NE 68104"
"$177,000",3bed,1.5bath,"1,524sqft","7,405sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"4324 Seward St, Omaha, NE 68111"
"$270,000",3bed,3bath,"2,835sqft",0.25acre lot,NP Dodge - 204Dodge Branch Office,"5536 N 134th St, Omaha, NE 68164"
"$300,000",4bed,3bath,"2,653sqft",0.32acre lot,BHHS Ambassador Real Estate,"2314 S 90th St, Omaha, NE 68124"
"$350,000",3bed,3bath,"3,680sqft",0.24acre lot,Better Homes and Gardens Real Estate The Good Life Group,"6109 S 102nd St, Omaha, NE 68127"
"$225,000",3bed,3bath,"2,021sqft","6,098sqft lot",BHHS Ambassador Real Estate,"14213 Huntington Ave, Omaha, NE 68164"
"$218,000",3bed,3bath,"1,902sqft","7,841sqft lot",Redfin Corporation,"5071 S 105th St, Omaha, NE 68127"
"$200,000",3bed,2.5bath,"1,570sqft","8,520sqft lot",Nebraska Realty,"3405 S 129th St, Omaha, NE 68144"
"$215,000",3bed,2bath,"1,427sqft","5,720sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"5770 S 188th St, Omaha, NE 68135"
"$225,000",3bed,2.5bath,"1,577sqft","8,276sqft lot",Bhhs Ambassador Real Estate,"15314 Locust St, Omaha, NE 68116"
"$215,000",3bed,2bath,"1,430sqft","6,098sqft lot",BHHS Ambassador Real Estate,"15238 Grover St, Omaha, NE 68144"
"$219,950",3bed,2.5bath,"1,850sqft",0.29acre lot,NP Dodge - 108Dodge Branch Office,"2205 N 99th St, Omaha, NE 68134"
"$235,000",3bed,2bath,"1,530sqft","7,100sqft lot",Bhhs Ambassador Real Estate,"18048 Lillian St, Omaha, NE 68136"
"$235,000",3bed,2bath,"1,606sqft","7,841sqft lot",BHHS Ambassador Real Estate,"18914 Drexel Cir, Omaha, NE 68135"
"$225,000",3bed,2bath,"1,462sqft","5,227sqft lot",Bhhs Ambassador Real Estate,"4520 William St, Omaha, NE 68106"
"$400,000",3bed,1.5bath,"1,670sqft","6,098sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"305 S 57th St, Omaha, NE 68132"
"$250,000",3bed,2bath,"1,601sqft","6,300sqft lot",BHHS Ambassador Real Estate,"1856 N 153rd Plz, Omaha, NE 68154"
"$215,000",3bed,2bath,"1,317sqft","9,583sqft lot",Coldwell Banker NHS RE,"2267 S 135th Ave, Omaha, NE 68144"
"$215,000",3bed,2bath,"1,664sqft",0.23acre lot,Better Homes and Gardens Real Estate The Good Life Group,"2806 N 99th St, Omaha, NE 68134"
"$240,000",3bed,3bath,"2,238sqft","8,113sqft lot",Nebraska Realty,"10204 O St, Omaha, NE 68127"
"$210,000",3bed,1.5bath,"1,502sqft","7,200sqft lot",BHHS Ambassador Real Estate,"11223 Corby St, Omaha, NE 68164"
"$685,000",5bed,3bath,"3,645sqft",1.02acre lot,P J MORGAN REAL ESTATE,"6865 Willow St, Omaha, NE 68152"
"$265,000",3bed,2.5bath,"1,584sqft","8,712sqft lot",Exp Realty Llc,"14519 Fowler Ave, Omaha, NE 68116"
"$565,000",3bed,3bath,"3,420sqft",0.37acre lot,BHHS Ambassador Real Estate,"2422 N 177th St, Omaha, NE 68116"
"$225,000",3bed,2.5bath,"1,700sqft","6,970sqft lot",BHHS Ambassador Real Estate,"5721 N 114th St, Omaha, NE 68164"
"$240,000",4bed,2bath,"1,386sqft",0.3acre lot,Nebraska Realty,"2329 N 189th St, Omaha, NE 68022"
"$310,000",4bed,3bath,"2,684sqft","6,098sqft lot",Peterson Bros Realty,"14608 Curtis Ave, Omaha, NE 68116"
"$375,000",5bed,3bath,"3,442sqft",0.25acre lot,BHHS Ambassador Real Estate,"17120 Franklin Dr, Omaha, NE 68118"
"$335,000",4bed,3.5bath,"2,466sqft","9,148sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"17063 Drexel St, Omaha, NE 68135"
"$499,000",5bed,3.5bath,"4,017sqft",0.34acre lot,BHHS Ambassador Real Estate,"2006 S 182nd Cir, Omaha, NE 68130"
"$525,000",3bed,2.5bath,"3,676sqft",0.29acre lot,Nebraska Realty,"5621 N 162nd St, Omaha, NE 68116"
"$375,000",4bed,2.5bath,"3,580sqft",0.27acre lot,Bhhs Ambassador Real Estate,"2329 N 168th Ave, Omaha, NE 68116"
"$950,000",5bed,4.5bath,"5,213sqft",0.47acre lot,Bhhs Ambassador Real Estate,"16320 L St, Omaha, NE 68135"
"$485,000",4bed,2.5bath,"2,484sqft",0.25acre lot,NP Dodge - 148Dodge Branch Office,"18318 Taylor St, Omaha, NE 68022"
"$139,900",2bed,1bath,840sqft,44sqft lot,BHHS Ambassador Real Estate,"105 N 31st Ave Apt 702, Omaha, NE 68131"
"$225,000",3bed,3bath,"1,232sqft",0.87acre lot,BHHS Ambassador Real Estate,"12918 N 42nd St, Omaha, NE 68112"
"$160,000",2bed,2bath,"1,056sqft",436sqft lot,BHHS Ambassador Real Estate,"14655 Taylor Ct, Omaha, NE 68116"
"$175,000",3bed,1bath,"1,612sqft","7,405sqft lot",Nebraska Realty Sarpy County,"8173 Hascall St, Omaha, NE 68124"
"$105,000",2bed,1bath,952sqft,952sqft lot,BHHS Ambassador Real Estate,"1903 S 5th St, Omaha, NE 68108"
"$65,000",1bed,1bath,610sqft,"6,500sqft lot",Exp Realty Llc,"6101 S 20th St, Omaha, NE 68107"
"$215,000",3bed,3bath,"1,586sqft",0.25acre lot,Nice Lady Real Estate,"3130 Hascall St, Omaha, NE 68105"
"$85,000",3bed,1bath,"1,220sqft","6,534sqft lot",Bhhs Ambassador Real Estate,"2425 Templeton St, Omaha, NE 68111"
"$219,900",3bed,2bath,"1,891sqft","6,534sqft lot",Realty One Group Sterling,"4114 N 169th St, Omaha, NE 68116"
"$419,000",5bed,4.5bath,"5,126sqft","9,656sqft lot",Keller Williams Greater Omaha,"5602 S 161st St, Omaha, NE 68135"
"$280,000",4bed,3bath,"2,912sqft","8,276sqft lot",Milford Real Estate,"3940 Drexel St, Omaha, NE 68107"
"$230,000",3bed,2bath,"1,988sqft","7,402sqft lot",NP Dodge - 204Dodge Branch Office,"8712 S 45th Ave, Omaha, NE 68157"
"$310,000",4bed,3.5+bath,"2,971sqft","7,800sqft lot",BHHS Ambassador Real Estate,"14903 G St, Omaha, NE 68137"
"$170,000",3bed,2bath,"1,178sqft","4,611sqft lot",NP Dodge - Council Bluffs Branch Office,"1030 S 25th St, Omaha, NE 68105"
"$215,000",3bed,1.5bath,"2,270sqft","8,400sqft lot",NP Dodge - 108Dodge Branch Office,"4235 G St, Omaha, NE 68107"
"$180,000",3bed,2.5bath,"2,116sqft","7,841sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"5721 Pratt St, Omaha, NE 68104"
"$165,000",2bed,2bath,"1,636sqft","5,000sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"3116 N 47th Ave, Omaha, NE 68104"
"$262,000",3bed,2bath,"2,462sqft",0.43acre lot,NP Dodge - 204Dodge Branch Office,"15735 Ohern Cir, Omaha, NE 68135"
"$390,000",4bed,4bath,"3,995sqft",0.24acre lot,Better Homes and Gardens Real Estate The Good Life Group,"4304 N 142nd Ave, Omaha, NE 68164"
"$200,000",2bed,1bath,"1,425sqft","6,970sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"2121 S 62nd St, Omaha, NE 68106"
"$245,000",3bed,3bath,"1,591sqft","6,114sqft lot",Better Homes And Gardens R.E.,"14207 Weber St, Omaha, NE 68142"
"$299,500",6bed,3.5bath,"2,844sqft","9,148sqft lot",Nebraska Realty,"14803 H St, Omaha, NE 68137"
"$230,000",3bed,2.5bath,"1,810sqft","8,146sqft lot",NP Dodge - 204Dodge Branch Office,"7923 Rock Creek Cir, Omaha, NE 68138"
"$235,000",3bed,2.5bath,"2,280sqft",0.28acre lot,Better Homes and Gardens Real Estate The Good Life Group,"12204 Crawford Cir, Omaha, NE 68144"
"$550,000",3bed,3.5+bath,"5,425sqft",0.45acre lot,Keller Williams Greater Omaha,"9964 Devonshire Dr, Omaha, NE 68114"
"$210,000",3bed,1.5bath,"1,522sqft","7,318sqft lot",BHHS Ambassador Real Estate,"13314 Emiline St, Omaha, NE 68138"
"$315,000",4bed,2.5+bath,"2,927sqft","8,712sqft lot",Nebraska Realty,"1629 N 160th St, Omaha, NE 68118"
"$299,000",5bed,1.5+bath,"2,117sqft","9,100sqft lot",Bhhs Ambassador Real Estate,"811 S 68th St, Omaha, NE 68106"
"$220,000",3bed,2bath,"1,694sqft","1,194sqft lot",BHHS Ambassador Real Estate,"3392 S 129th St, Omaha, NE 68144"
"$335,000",3bed,2.5bath,"2,376sqft","8,768sqft lot",Better Homes and Gardens Real Estate The Good Life Group,"5627 Erskine St, Omaha, NE 68104"
"$359,000",4bed,4bath,"2,675sqft",0.25acre lot,Nebraska Realty,"9494 S 175th Cir, Omaha, NE 68136"
"$530,000",5bed,3bath,"3,769sqft",0.43acre lot,NP Dodge - 148Dodge Branch Office,"10307 Woodridge Ln, Omaha, NE 68124"
"$340,000",3bed,3bath,"2,512sqft",0.26acre lot,BHHS Ambassador Real Estate,"20207 G St, Omaha, NE 68135"
"$400,000",4bed,3bath,"3,092sqft",0.29acre lot,Nebraska Realty,"19656 Blaine Cir, Omaha, NE 68135"
"$400,000",4bed,3bath,"3,002sqft",0.23acre lot,BHHS Ambassador Real Estate,"3941 S 183rd Ave, Omaha, NE 68130"
"$950,000",6bed,4.5bath,"5,314sqft",0.25acre lot,NP Dodge - 148Dodge Branch Office,"18802 Vinton St, Omaha, NE 68130"
"$775,000",5bed,4.5bath,"5,720sqft",0.47acre lot,BHHS Ambassador Real Estate,"4005 S 177th St, Omaha, NE 68130"
"$475,000",5bed,3.5bath,"3,356sqft",0.25acre lot,Keller Williams Greater Omaha,"18914 Ruggles St, Omaha, NE 68022"
"$625,000",3bed,3.5bath,"3,976sqft",0.41acre lot,BHHS Ambassador Real Estate,"16245 California St, Omaha, NE 68118"
"$819,000",5bed,3bath,"4,334sqft",0.41acre lot,Better Homes and Gardens Real Estate The Good Life Group,"18850 Vinton St, Omaha, NE 68130"
"$480,000",3bed,3bath,"2,650sqft",0.48acre lot,BHHS Ambassador Real Estate,"20179 George B Lake Pkwy, Omaha, NE 68130"
"$788,000",4bed,5bath,"3,500sqft",0.65acre lot,Nebraska Realty,"23515 P St, Omaha, NE 68022"
"$289,900",3bed,2.5bath,"2,132sqft","4,356sqft lot",Keller Williams Greater Omaha,"968 S 119th Ct, Omaha, NE 68154"
"$205,000",3bed,2bath,"1,784sqft",0.26acre lot,Nebraska Realty,"6807 N 51st St, Omaha, NE 68152"
"$149,000",4bed,2.5bath,"1,996sqft",0.25acre lot,Nebraska Realty,"2228 Maple St, Omaha, NE 68110"
"$245,000",3bed,2.5bath,"2,773sqft","6,032sqft lot",NP Dodge - Sarpy County Branch Office,"2404 Hanscom Blvd, Omaha, NE 68105"
"$160,000",2bed,1bath,"2,019sqft","4,792sqft lot",kwELITE Real Estate,"4408 Mayberry St, Omaha, NE 68105"
"$125,000",2bed,1bath,728sqft,0.23acre lot,kwELITE Real Estate,"4641 Larimore Ave, Omaha, NE 68104"
"$130,000",3bed,1bath,"1,222sqft","6,400sqft lot",BHHS Ambassador Real Estate,"5112 N 17th St, Omaha, NE 68110"
"$430,000",5bed,3.5bath,"4,119sqft",0.27acre lot,kwELITE Real Estate,"1026 S 32nd St, Omaha, NE 68105"
"$90,000",2bed,1bath,579sqft,0.25acre lot,BHHS Ambassador Real Estate,"5210 N 9th St E, Omaha, NE 68110"
"$225,000",3bed,3bath,"1,516sqft","7,405sqft lot",Keller Williams Greater Omaha,"16319 Weir St, Omaha, NE 68135"
"$109,900",2bed,2bath,"1,030sqft","4,080sqft lot",Bhhs Ambassador Real Estate,"1206 S 44th St, Omaha, NE 68105"
"$75,000",2bed,1bath,786sqft,0.23acre lot,BHHS Ambassador Real Estate,"1720 Fowler Ave, Omaha, NE 68110"
"$285,000",4bed,2.5bath,"3,245sqft","8,960sqft lot",BHHS Ambassador Real Estate,"2306 S 166th St, Omaha, NE 68130"
"$235,000",3bed,2bath,"1,428sqft","6,970sqft lot",Bhhs Ambassador Real Estate,"4222 N 171st Ave, Omaha, NE 68116"
"$180,000",3bed,2.5bath,"2,045sqft",0.31acre lot,BHHS Ambassador Real Estate,"5306 B St, Omaha, NE 68106"
"$268,500",3bed,2bath,"1,590sqft",,BHHS Ambassador Real Estate,"3106 N 154th Ave, Omaha, NE 68116"
"$575,000",5bed,4.5bath,"4,046sqft",0.31acre lot,Bhhs Ambassador Real Estate,"13011 Scott St, Omaha, NE 68142"
"$69,900",3bed,1bath,"1,358sqft","6,098sqft lot",Nebraska Realty,"3341 Meredith Ave, Omaha, NE 68111"
"$255,000",3bed,2.5bath,"1,634sqft","5,663sqft lot",Nexthome Signature Real Estate,"15942 Arbor St, Omaha, NE 68130"
"$245,000",3bed,3bath,"2,564sqft",0.31acre lot,NP Dodge - 204Dodge Branch Office,"2408 S 126th St, Omaha, NE 68144"
"$225,000",3bed,2bath,"1,248sqft","6,098sqft lot",NP Dodge - 148Dodge Branch Office,"7851 N 144th Ave, Omaha, NE 68007"
"$203,000",4bed,2bath,"1,600sqft","6,324sqft lot",BHHS Ambassador Real Estate,"2625 S 38th St, Omaha, NE 68105"
"$175,000",4bed,2bath,"1,331sqft",0.28acre lot,Nebraska Realty,"5011 N 53rd St, Omaha, NE 68104"
"$290,000",3bed,2.5+bath,"2,280sqft",0.29acre lot,NP Dodge - 204Dodge Branch Office,"2266 Royal Wood Dr, Omaha, NE 68144"
"$59,900",2bed,1bath,632sqft,"5,227sqft lot",Nebraska Realty,"3948 N 38th St, Omaha, NE 68111"
"$207,000",3bed,2bath,"1,388sqft","4,792sqft lot",kwELITE Real Estate,"5712 N 117th Cir, Omaha, NE 68164"
"$199,500",3bed,2.5bath,"2,054sqft",0.35acre lot,BHHS Ambassador Real Estate,"5407 N 126th Ave, Omaha, NE 68164"
"$356,500",4bed,4bath,"3,752sqft",0.23acre lot,BHHS Ambassador Real Estate,"906 N 148th St, Omaha, NE 68154"
"$220,000",3bed,3bath,"1,468sqft","7,405sqft lot",Nebraska Realty,"11029 Monroe St, Omaha, NE 68137"
"$175,000",3bed,1bath,"1,284sqft","6,098sqft lot",RE/MAX Results,"2414 N 60th St, Omaha, NE 68104"
"$175,000",4bed,2bath,"1,540sqft","6,500sqft lot",Nebraska Realty,"4023 S 38th St, Omaha, NE 68107"
